system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000001901_0,103.5,0.1199,0.0013,0.2743,0.1668,0.1088,0.1082,0.0953,0.1378,0.2471,0.287,0.2878,0.1081,114.0,143.0,111.0,-16.488314483208107,-9.846061020610179,-1.1950500644743443,-0.5055500380694866,174,2.0577266,1142.2024,0.4611441666773727,0.3023838761315131,0.12598425,0.30707654,0.3077634,0.03810452879380835,0.0026142642618318668,0.0022019873934674417,0.26588234,0.12313433,0.469013,-0.02929467,-0.21385992,32.880756,12.601542,-128,0.38053892262467237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.45550526374635,46.56601429866784]}"
00000000000000001902_0,74.0,0.1098,0.0021,0.2406,0.1389,0.0967,0.0972,0.0877,0.1258,0.2602,0.3158,0.317,0.1541,115.0,185.0,90.0,-12.794453725695355,0.49464532516149684,-1.0348250158131123,-0.5314250141382217,126,-3.4870198,1861.2704,0.512768893259351,0.3599562366091417,0.34545454,0.3096591,0.405038,0.06852249872650647,0.004257872569246257,0.014368627502827136,0.57322174,0.4745098,0.5464363,-0.5723492,-0.15675206,95.21787,31.806835,136,1.7106207012020294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.47580718916744,46.56331935281548]}"
00000000000000001903_0,46.5,0.119,0.0017,0.2079,0.1177,0.0826,0.0771,0.0684,0.1101,0.2094,0.2477,0.256,0.1171,59.5,152.0,42.0,-14.948419429133086,-4.965231487834156,-0.910875016823411,-0.44992502219974995,95,-3.84507,1900.9147,0.4479893026776413,0.31290182879788464,0.5670103,0.32398072,0.42252776,0.059305160081594144,0.008090827034019366,0.011905454509157531,0.5670103,0.33506495,0.5555556,-0.5779305,-0.17482518,108.94693,30.504414,132,0.6824832699889056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.48793444550306,46.57571610373633]}"
00000000000000001904_0,65.5,0.1102,0.0019,0.2582,0.1551,0.0925,0.0891,0.0813,0.1189,0.2421,0.2827,0.2926,0.1378,93.5,180.5,81.5,-21.230972818295633,-15.096416117006001,-1.176074955612421,-0.5497249849140644,230,-2.965184,1871.6265,0.4861271133450641,0.3391523757031728,0.3778626,0.3221757,0.3376041,0.05559091727615781,0.0032784346847032353,0.002748033994015797,0.5881104,0.40082645,0.53248996,-0.32189268,-0.23476702,98.4734,23.31158,73,1.1946100683806569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.49961254419661,46.58496875116276]}"
00000000000000001906_0,44.0,0.0969,9.0E-4,0.0091,0.0057,0.0701,0.0456,0.0231,0.0223,0.0253,0.0248,0.0218,0.0107,27.0,5.0,12.0,-26.655209412796786,-20.737880574740206,0.12487500126007944,0.1363250029971823,163,2.3558702,1575.4861,-0.00512093156056039,-0.0024854559374023477,-0.4117647,0.3429395,0.6185567,0.06692807330231787,0.0015887718769497794,0.021643658671333887,-0.3939394,-0.4117647,-0.015873017,0.0043342933,0.7906137,18.112597,0.0,-34,1.1337047430367224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.51129064289016,46.601677415447384]}"
00000000000000001907_0,53.5,0.1226,0.0018,0.2449,0.1547,0.0913,0.088,0.0769,0.1173,0.2488,0.291,0.3027,0.1291,72.5,169.5,47.0,-7.6630401060924695,3.8957655891050362,-1.1287000067532063,-0.5487750209867954,138,-3.490702,1730.2559,0.5230000001069941,0.36369285958551406,0.56581986,0.3130367,0.3374741,0.06538567260483234,0.003558373546950211,0.004458575745135834,0.56581986,0.46733668,0.54516596,-0.4339882,-0.25233644,163.83305,32.300343,63,2.5758738360630806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5010498486512,46.60616899186798]}"
0000000000000000190a_0,64.0,0.0985,0.0012,0.1403,0.0596,0.0824,0.0854,0.052,0.0897,0.2728,0.3364,0.3833,0.106,88.0,182.0,61.5,-14.58353673740494,-9.301444116279749,-0.47932502161711454,-0.5044000158086419,163,-3.7579303,1281.3064,0.7688202103150277,0.5403439003724915,0.49486652,0.22292994,0.7336932,0.05123010679593963,4.252581472394823E-4,0.005491410091630122,0.5955679,0.5247525,0.7445437,-0.2969518,0.19311817,79.201454,15.317786,58,0.46524937022766605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5528826405449,46.62063186794231]}"
0000000000000000190b_0,55.0,0.0992,0.0011,0.0789,0.0305,0.0688,0.0575,0.0294,0.0632,0.1949,0.238,0.208,0.0663,50.5,83.0,32.0,-22.99174247761632,-16.513448070432492,-0.2214750056155026,-0.22542500449344516,151,-1.3670452,820.4261,0.5141639976795954,0.32844236941756927,0.44347826,0.26140013,0.79752797,0.050555184234457845,9.35675317057516E-5,0.005568366268977831,0.48979592,0.34275618,0.7007178,0.2869517,0.32385787,93.55385,16.304691,-120,1.5254872202747907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56474040229527,46.62530310741973]}"
0000000000000000190c_0,62.5,0.11,0.0014,0.1595,0.0968,0.0868,0.0752,0.0715,0.0883,0.1373,0.1685,0.1675,0.0765,70.5,126.5,49.0,-14.664522246445888,-7.811958427930066,-0.6452750153839588,-0.23990001156926155,247,-4.097663,1072.8829,0.25383394914489066,0.16395630805338446,0.44159544,0.35588866,0.31041968,0.0394195021092592,0.016715833040286066,0.01988927092411874,0.55889726,0.45268542,0.39942646,0.01376307,-0.13646789,182.64124,41.879543,-36,3.3945926951182033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55782337460755,46.63347777650522]}"
0000000000000000190d_0,59.0,0.0973,0.0012,0.21035,0.0969,0.0824,0.09045,0.05805,0.1423,0.3121,0.35475,0.35965,0.12755,68.5,96.0,68.5,-6.244277773282804,1.4770243669261622,-0.8359875418245792,-0.5706999972462654,92,-3.9454203,1363.9785,0.6917748414451362,0.49114201491181203,0.16717325,0.21654399,0.5941484,0.02093525745804458,1.6571464795095414E-4,0.006416704746400992,0.47490346,0.2715655,0.7196874,0.016965806,-0.03872747,156.80736,35.60491,87,1.9899294642536527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.58091007740943,46.5785008811171]}"
