system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
0000000000000000182a_0,103.0,0.14415,0.00295,0.1837,0.15795,0.13795,0.1384,0.14525,0.15165,0.16035,0.16785,0.15885,0.0811,70.0,26.0,28.0,-18.00243666694083,-9.646516058592887,-0.6552749648690224,-0.06936248019337654,86,-3.3266304,2165.5764,0.034145993213698926,0.020975945760552395,-0.037037037,0.3434535,-0.032020688,0.17264854398568952,0.0027840317469069948,2.941768106903362E-4,0.0,-0.05263158,0.032756805,-0.06198275,-0.094886266,147.28069,22.486233,82,2.0892257572864725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.30458372173241,48.79958542110262]}"
0000000000000000182b_0,126.5,0.159,0.00265,0.3145,0.2555,0.1366,0.12905,0.1337,0.14905,0.1612,0.1699,0.16,0.10165,133.0,130.5,131.0,-20.933622823411397,-10.41455497356997,-1.4844249784946442,-0.3163999915122986,237,-2.7784574,1776.1107,0.07011837238473548,0.04113005940063541,-0.0019120459,0.35369974,-0.16078606,0.06056323939918637,2.037868052473385E-4,3.684115460249465E-4,0.22826087,0.015810277,0.08663281,-0.03580208,-0.32849127,190.75249,39.29076,10,1.3965322176272994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.31006344496554,48.78835648005113]}"
0000000000000000182c_0,147.5,0.14265,0.0028,0.20415,0.17575,0.134,0.1278,0.1287,0.15,0.15755,0.1641,0.142,0.077,139.0,122.5,130.0,-16.091820598326493,-5.220982397127216,-0.824212521314621,-0.1096625067293644,83,-3.2076442,2137.909,0.03657061607369513,0.021062002327648988,-0.02970297,0.34545454,-0.04584867,0.07494995212175275,0.006330221419803446,2.3457968280189874E-4,0.045454547,-0.009433962,0.041026827,-0.017239839,-0.18840474,129.95703,32.220203,66,2.0330993991085995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.31545333667026,48.80677194337557]}"
0000000000000000182d_0,94.0,0.12585,0.00195,0.11275,0.09525,0.1188,0.1067,0.10225,0.1028,0.11045,0.11695,0.1139,0.06265,63.0,22.0,22.0,-14.424623093786163,-8.119411271751751,-0.3146125003695488,0.021762507036328316,93,-2.7163796,1974.0417,0.03482184302809975,0.019279770061156887,0.0,0.34889397,0.08411626,0.13446703896011877,0.003396412613275895,5.854258424502195E-4,0.15789473,0.0,0.053930316,-0.040126175,0.057047762,174.84932,15.8705225,36,5.146312470439138,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.34491807798938,48.817372063728186]}"
0000000000000000182e_0,111.5,0.12975,0.00275,0.22595,0.1881,0.11315,0.10335,0.10205,0.1066,0.1192,0.12585,0.12405,0.0784,118.0,108.0,114.5,-23.356771533606658,-11.729595601187253,-1.038687502965331,-0.2005000039935112,183,-0.18769296,1725.2606,0.06195612429004626,0.03630991913711157,-0.029213483,0.3511223,-0.15042299,0.08276980621317022,9.395745502024586E-5,8.355927217531742E-5,0.104166664,-0.021276595,0.097962655,0.0011274144,-0.28746775,83.56759,32.106556,-32,2.903990000887407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3630640467286,48.810904193682525]}"
00000000000000001830_0,149.0,0.11785,0.0023,0.15385,0.12625,0.10255,0.09085,0.08445,0.0917,0.10205,0.1073,0.10265,0.06675,147.0,122.0,141.0,-25.15700969360146,-13.31318678609486,-0.6248500011861324,-0.08663750067353249,129,-2.5031776,1895.0741,0.05415216963550435,0.030997118103460397,-0.07224335,0.34605002,-0.044159673,0.06623236560419653,6.767544693883319E-4,2.837148541310359E-4,0.06666667,-0.07224335,0.08465646,-0.08631688,-0.14748174,143.50378,39.069077,51,1.2776624081776837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.360099606291,48.81692290608613]}"
00000000000000001831_0,93.0,0.12445,0.0028,0.1394,0.1104,0.1142,0.1044,0.10165,0.10695,0.1291,0.137,0.13685,0.0672,68.0,32.0,32.0,-11.688835446692838,-0.6888472373864971,-0.47781251184642315,-0.0667749997228384,113,-4.129423,2260.8523,0.0988486406740611,0.05790447336109128,0.0,0.34800938,0.11250581,0.037827987769514515,0.0014901395571940562,1.8807662475223141E-4,0.23333333,0.020408163,0.1487136,-0.16272706,-0.024833363,145.945,49.6185,179,7.455839246456875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3360247566766,48.80829907935858]}"
00000000000000001834_0,105.0,0.12525,0.00295,0.1413,0.1214,0.1244,0.11,0.11265,0.1091,0.11965,0.12925,0.1397,0.0629,110.0,113.0,108.0,-17.53908374914171,-12.386613880821574,-0.493974968791008,-0.05244998633861542,212,-4.2141967,2165.8284,0.07662020041715399,0.04378381655648245,0.022624435,0.3660856,0.06228355,0.039369256785642674,2.0945364309297868E-4,3.6362896417783985E-4,0.06122449,-0.03076923,0.10982782,-0.07236461,-0.03308647,175.12663,46.268208,142,3.3690404026531233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3344976206936,48.805424470449395]}"
00000000000000001835_0,97.5,0.119,0.0031,0.0808,0.05955,0.08185,0.0676,0.05845,0.0598,0.07065,0.07535,0.0758,0.0735,70.0,35.0,34.0,-18.051343603200415,-9.209143279611624,-0.23551249597221613,0.0010624947026371956,38,-3.3844743,2251.586,0.053376413589233805,0.030964580947754783,0.014492754,0.34968737,0.050524216,0.061964565269351804,0.011394090498364194,0.0033429882773737193,0.07017544,0.02097902,0.09047408,0.007903764,0.07312079,84.8426,50.419212,177,2.9165335821757674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.34922999135316,48.8152161070463]}"
00000000000000001836_0,152.0,0.14755,0.003,0.2999,0.24215,0.1707,0.16985,0.1817,0.20065,0.23935,0.25705,0.23185,0.1225,164.0,158.0,173.0,-19.346696199127333,-11.129948726671419,-1.2440749369561672,-0.2628374733030796,213,0.01096238,1873.0563,0.12034457181637431,0.07207394857876948,-0.04531722,0.34954524,0.05566714,0.049400949262981685,0.00582283347617485,0.00650495699534671,0.05035971,-0.044871796,0.1196021,-0.05009835,-0.16804698,69.52378,29.2983,-22,0.8202595817973087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.32434665798304,48.800393904858325]}"
00000000000000001837_0,74.0,0.1359,0.0026,0.27465,0.2216,0.10405,0.09365,0.0873,0.0922,0.10355,0.11125,0.1161,0.07625,67.0,60.5,43.5,-8.766966800245353,1.694160203385512,-1.3624250255525112,-0.3033500090241432,175,-2.3359282,1613.4537,0.08376718556580788,0.048667873415778606,0.16346154,0.34280702,-0.27738598,0.0759270914656337,2.0299841369618432E-4,1.6603093867018082E-4,0.47560975,0.15867159,0.14497459,-0.029627807,-0.40051693,127.937164,28.165344,-105,2.1051512212554755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.3714183788709,48.821414482506725]}"
