system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000000db9_0,126.0,0.1163,0.0012,0.198,0.1345,0.108,0.098,0.099,0.1011,0.1382,0.1577,0.1366,0.0608,142.0,124.0,150.0,-25.591609398266346,-18.39209645218093,-0.8040249980986118,-0.18252500519156456,221,-2.8726118,596.5348,0.10210733234953995,0.06209190261331421,-0.09489051,0.35737705,0.12520325,0.007781956275639891,3.3156911688113355E-4,3.9040393916140587E-4,0.5492958,0.10313901,0.15858454,0.041450784,-0.14983165,92.4013,29.564445,-2,1.5516791443751807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.19462078239248,48.242090955778046]}"
00000000000000000dba_0,177.0,0.153,0.0013,0.2876,0.2358,0.2003,0.2248,0.2598,0.227,0.2517,0.2653,0.2947,0.0761,191.0,177.0,195.0,-20.88677272096364,-13.117918272825309,-0.9733250141143799,-0.17010000348091125,190,-2.930193,423.69464,0.06456986196881777,0.045201454011859155,-0.048387095,0.34355378,0.08546008,0.006992895598318609,0.0019300121881779646,0.0019660658451990964,0.03583062,-0.05785124,0.075824,0.053598426,-0.029879518,50.623943,64.29802,-3,0.37084213251784437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.22498383899571,48.140940654786185]}"
00000000000000000dbb_0,151.0,0.1367,0.0012,0.265,0.2272,0.1856,0.2098,0.2225,0.1974,0.2128,0.2335,0.2494,0.0477,176.0,143.0,182.0,-24.973909733150233,-17.14439786310836,-0.9079499281942844,-0.11829997599124908,206,-1.664237,393.62534,0.0563988768418466,0.03679888878309345,-0.12,0.3209257,0.020900669,0.009635566393712384,0.002595335017506507,0.0033135221761640757,0.013888889,-0.12,0.05515978,0.009466901,-0.039816935,33.285225,35.157555,-10,0.9754645306330871,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23333817113803,48.140940654786185]}"
00000000000000000ec7_0,55.0,0.1071,9.0E-4,0.1119,0.0505,0.0766,0.064,0.0387,0.0763,0.1765,0.1983,0.1788,0.0655,59.0,123.5,40.0,-12.367655931593982,-4.92798567589856,-0.3751750001683831,-0.21207499783486128,96,-2.85,659.25525,0.4187089147573325,0.2538653740796755,0.5107034,0.28611264,0.61267096,0.020872778663681344,5.54618938962248E-4,0.0010028834277482357,0.59375,0.408867,0.6426593,0.1073643,0.12695652,91.21476,22.560434,-7,0.3877304478102801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0166645246084,48.56458614277695]}"
00000000000000000252_0,90.5,0.1218,0.0015,0.2972,0.2121,0.1108,0.0964,0.0931,0.1019,0.1342,0.1478,0.1448,0.062,99.5,94.0,93.5,-17.732969792576206,-9.715334172290254,-1.4226749762892723,-0.36422500386834145,207,-1.5988216,854.0578,0.1481545473829511,0.08590195968303105,0.0026666666,0.35797533,-0.10876392,0.01452493053223592,0.0014712942550347248,5.413001769659365E-4,0.5865633,0.12238806,0.21171547,0.006609112,-0.37195903,48.87786,38.339066,44,1.134607877110187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.18833257540363,48.578150703567154]}"
0000000000000000056c_0,95.0,0.1219,0.0011,0.1348,0.0951,0.0998,0.0798,0.0739,0.0684,0.0788,0.0876,0.0986,0.05,81.0,68.0,79.0,-19.573983709700627,-7.418606134082399,-0.5061750002205372,-0.07457499951124191,87,-3.6585038,610.6951,0.07781978756531165,0.04279251691980113,-0.07482993,0.37041417,0.030018762,0.04407406002046224,0.002245683744568655,9.780127694686143E-5,0.43842363,-0.006802721,0.14252874,0.17384622,-0.072093025,70.24484,31.400822,24,1.5584690705873352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.30592204609489,47.79814354236618]}"
00000000000000000581_0,113.0,0.1206,0.001,0.176,0.1297,0.1095,0.0938,0.0892,0.0909,0.107,0.1198,0.1112,0.0459,119.0,76.0,117.0,-22.27477068987821,-11.763105782835188,-0.7132750060409307,-0.11922499537467957,186,-2.3116815,451.1657,0.06665454775375017,0.037122095841670255,-0.21243523,0.35863248,0.01053596,0.019284019733384596,3.282743516283418E-4,3.3153245600650214E-4,0.27363184,-0.17318435,0.11564626,0.0079813525,-0.15418503,104.0073,29.262697,5,2.1518021223202957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.07963642602517,48.63654119703492]}"
000000000000000005c7_0,107.0,0.1254,0.0014,0.3063,0.2238,0.1107,0.0942,0.0893,0.0985,0.1293,0.1466,0.1307,0.0695,108.0,94.0,109.0,-15.30582253844399,-5.545481019526588,-1.4965250678360462,-0.36525003612041473,239,-0.86677706,865.9428,0.12376683540482632,0.0694670045545751,-0.073891625,0.3596193,-0.15688808,0.024801452919463094,7.533209654436261E-4,1.3551233915226613E-4,0.4939759,0.012765957,0.19492294,-0.0058282614,-0.40810373,140.02452,48.180897,-36,5.335107420158708,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.26945044555963,48.505027839439826]}"
00000000000000000628_0,106.0,0.1352,0.0011,0.2021,0.1415,0.1013,0.0873,0.0842,0.1012,0.1192,0.1357,0.1191,0.0468,106.0,106.0,115.0,-26.94935464406548,-20.81053687776311,-0.8780999537557364,-0.19762497767806053,202,-2.011221,410.09726,0.10091953806452109,0.05920284856860525,-0.040723983,0.35997066,0.036103543,0.014108820601330029,1.6085944318871333E-4,1.9484781408248117E-4,0.032520324,-0.022222223,0.1639164,0.08058123,-0.2242484,28.556887,27.547815,-22,1.8725676090934278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.17485784614185,47.91124143663682]}"
000000000000000006f1_0,56.0,0.1302,0.00135,0.19575,0.1329,0.08305,0.0616,0.04925,0.1009,0.1182,0.1352,0.07275,0.0636,45.0,22.0,36.0,-26.204169180293277,-18.427778139212485,-0.9202624931931496,-0.19892500340938568,247,-4.0524125,577.23315,0.07881939444141069,0.04261552947235092,-0.2413793,0.36462092,0.039352767,0.010720009100396275,1.825743038770307E-4,3.247734154273302E-4,0.32163742,-0.06761566,0.18919152,0.062623516,-0.37229,183.46794,72.94713,14,4.7108333142978775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.95459093847575,48.817821221370245]}"
00000000000000000700_0,113.0,0.1164,0.0013,0.2348,0.1668,0.1064,0.0928,0.0851,0.0901,0.1249,0.1403,0.1368,0.0628,117.0,103.0,116.0,-19.1754873095635,-11.981199909116558,-1.0609000101685524,-0.2607000097632408,188,0.11591645,663.5557,0.15216623867348866,0.08715080809566478,-0.05936073,0.3471685,0.0035842294,0.015479380007839006,9.027033424761689E-4,4.040676593235811E-4,0.5897436,0.20430107,0.24495678,-0.0069983006,-0.28359345,24.45198,23.388515,17,0.2709087517856107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16964761749395,48.578959187322866]}"
00000000000000000702_0,62.0,0.1163,0.0013,0.2436,0.1697,0.1022,0.0863,0.0801,0.0882,0.1135,0.1309,0.1297,0.06,51.0,43.0,45.0,-18.044619596998633,-10.023490149074131,-1.1282999739050865,-0.2844249978661537,148,-2.7958488,757.5953,0.14695427097074884,0.08442751714964492,-0.022727273,0.3574088,-0.06528562,0.023230943589858763,5.207015791688797E-4,5.634685965277067E-4,0.6236559,0.16393442,0.23649907,0.036284536,-0.3291536,51.62448,40.727036,2,1.2092976650031426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.19722589671642,48.55407585395275]}"
