system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
0000000000000000000a_0,126.0,0.1538,0.0016,0.304,0.2423,0.1405,0.1394,0.1603,0.1751,0.2008,0.2197,0.2138,0.0752,146.0,153.5,159.5,-24.65483166711254,-14.52188612004405,-1.3781749494373798,-0.34827497601509094,171,3.5873473,369.1168,0.11922269962711898,0.07936289012674569,-0.019169329,0.3666515,-0.011363637,0.002461786940887649,9.18200173068738E-4,8.091186945443504E-4,0.06761566,-0.02238806,0.1391375,0.021446168,-0.27776268,1.7809771,0.33415774,-13,0.5738704452697464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.31562842544523,48.13321514334276]}"
0000000000000000000b_0,77.0,0.1444,0.0015,0.2779,0.2048,0.1447,0.1426,0.1528,0.1666,0.2241,0.2582,0.235,0.0921,73.0,112.0,67.0,-19.63222950479667,-14.112182183823002,-1.1631500273942947,-0.3193500079214573,159,-2.685293,424.8137,0.1926773518616397,0.12195433403898981,0.25139666,0.35196546,0.15684648,0.017141266148734822,0.01938149444062154,0.018113426424787193,0.4566929,0.2137931,0.20378587,0.031584814,-0.16484927,61.88476,5.131551,-9,1.9351882391164366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.02700429893947,47.7675109911777]}"
0000000000000000000c_0,92.0,0.1277,0.0014,0.2251,0.1529,0.1114,0.1041,0.1119,0.1286,0.1619,0.1783,0.1905,0.0692,107.5,126.5,105.0,-20.081950900176203,-13.610193490191476,-0.9520999863743782,-0.28997500985860825,153,-2.7549238,828.49005,0.1914458385388282,0.1251768686040554,0.09287257,0.36408067,0.12287195,0.02183049075525069,0.012030289309201025,0.013405492045998557,0.31034482,0.12851405,0.24202046,0.12677452,-0.20094377,51.138103,16.498772,54,1.4172684441680032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.75238931658414,48.062068572840495]}"
0000000000000000000d_0,130.0,0.1312,0.0013,0.191,0.1294,0.1094,0.1051,0.0991,0.1246,0.1752,0.2056,0.2143,0.0786,150.5,145.5,164.5,-19.909374185198484,-10.01003813350562,-0.7530250065028667,-0.2681500166654587,168,-1.3156124,240.91998,0.2913800106335098,0.18531561316694378,-0.061290324,0.3297194,0.32559243,0.02003841939232073,0.006071950540396567,0.004648874435686444,0.55282557,-0.038062282,0.4239098,0.009783238,-0.0745234,4.4576526,1.0153506,-8,0.552811173585017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.72031946094107,48.080124710051294]}"
0000000000000000000e_0,135.0,0.1505,0.0017,0.3386,0.262,0.1412,0.1399,0.1653,0.1757,0.1923,0.2125,0.2092,0.0774,149.0,158.0,161.0,-20.51640301453319,-11.109284062093332,-1.5676000267267227,-0.39625000208616257,174,-2.830474,616.3156,0.09610332914665481,0.06486728843858758,-0.009404388,0.3732079,-0.05540225,0.008252979085694657,8.651383880011344E-4,0.00316115114802858,0.042682927,-0.006060606,0.114863135,0.0721689,-0.3082073,45.934784,9.347697,25,1.0803851437257774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.2116933470726,48.14543223120678]}"
0000000000000000000f_0,124.0,0.1459,0.0017,0.3585,0.2651,0.1386,0.1372,0.1669,0.1834,0.218,0.2447,0.2456,0.09,151.5,177.0,171.0,-23.361565522114198,-14.877266986503763,-1.675625029951334,-0.49082500487565994,171,0.30438966,548.13055,0.16293998265356627,0.11431611141329245,0.01724138,0.38016716,0.037427325,0.020259888502843944,0.009625884640318955,0.010992917850600524,0.036036037,0.010071943,0.20124431,0.10537957,-0.30642116,7.2077165,0.64671004,-15,0.15142723221655263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.00256554892958,48.15064245985468]}"
00000000000000000010_0,135.0,0.14785,0.0015,0.3548,0.27885,0.1418,0.1467,0.1777,0.18895,0.20685,0.2273,0.23075,0.0889,158.0,156.0,171.0,-13.030970089397956,5.68579891893898,-1.6569249331951141,-0.4394874796271324,172,-3.7787976,905.5146,0.10752360786688306,0.07661272949076281,-0.04587156,0.37065637,-0.06496063,0.013206925969758258,3.8633809089646176E-4,3.3722513231263483E-4,-0.02153846,-0.040498443,0.1261454,0.056165412,-0.3167113,86.72365,27.254072,104,2.263558108011377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.27251386608934,47.59135136396186]}"
00000000000000000011_0,94.0,0.1366,0.0013,0.1872,0.0945,0.1013,0.0924,0.0716,0.1193,0.2703,0.3397,0.3417,0.1071,104.5,149.0,102.5,-15.4604994998972,-10.148145269455814,-0.7244999725371599,-0.4846749734133482,143,-1.8783258,431.7769,0.6675399128474647,0.4315062662570383,0.18489066,0.30343008,0.5921722,0.013169274653607984,0.03800689923510375,0.03358922215881717,0.22981367,0.16334662,0.6677331,0.020069897,-0.020334927,45.19713,13.31793,-17,0.5053120457109173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.79362198812522,48.06763812760203]}"
00000000000000000012_0,117.0,0.1539,0.0015,0.34335,0.27385,0.1426,0.1464,0.17415,0.18745,0.21345,0.2347,0.2305,0.08385,136.0,130.0,149.0,-18.595890755462545,-12.41915142164106,-1.5985124371945858,-0.42063747346401215,234,-1.8284624,505.64575,0.11682144337717665,0.08170861278396013,-0.068100356,0.3678074,-0.04092621,0.007162147329406836,3.710031568985353E-4,3.4514246288775904E-4,0.06557377,-0.05882353,0.13564113,0.055170074,-0.3039348,133.88513,40.88525,10,0.7294144911420231,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.26415953394704,47.65396393926499]}"
00000000000000000013_0,107.0,0.1408,0.0015,0.2378,0.1803,0.1216,0.1092,0.1207,0.1274,0.1415,0.1531,0.1574,0.0653,117.0,109.0,126.0,-18.924794070578333,-11.521616245241688,-1.0495749972760677,-0.2432749941945076,167,-1.1472979,670.3713,0.09462663907779763,0.058421896171589105,-0.07234043,0.37866288,-0.03485392,0.004199573200757087,0.001329794799488508,0.001242872648013869,-0.004048583,-0.06938776,0.13372698,0.06881012,-0.24274594,29.828974,8.7603035,19,0.37966171796191595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.42405508023846,48.10680467398964]}"
